Time,mys01,mys02,mys03,mys04,mys05,mys06,mys07
258500,11187,57166699,88352493,243217906,20030,27637,72317
259000,11420,58608893,87416854,217924204,20040,26152,83558
259500,11589,44655825,88354421,213134056,20333,26005,76067
260000,20823,32180409,90312213,214104638,20739,25806,73830
260500,11916,32148948,91284696,210921544,18304,25078,73896
261000,11385,31704333,90938244,177469071,17724,25742,73030
261500,11332,31194502,93799195,182121926,18308,25744,74147
262000,11453,30860276,91242120,176478425,18876,25753,71594
262500,11255,30882625,93255733,191372606,18506,25625,74451
263000,11452,30100539,94531481,204884356,18085,26496,73431
263500,11334,29622946,91792909,188936885,17999,25669,72109
264000,11450,29452518,92592074,165528167,17722,26201,74578
264500,11218,28929098,94310023,157375234,17960,25151,72594
265000,11601,28650030,95863407,153289677,19328,25882,72758
265500,11405,27673728,100210559,150868934,18715,26775,78115
266000,11401,27103112,97345603,162015512,17572,25726,74681
